es,en,de,fr,it
como,as,als,comme,COME
cuando,when,Wenn,quand,Quando
entonces,so,So,ensuite,COSÌ
excepto,except,außer,sauf,tranne
ni,neither,weder,ni,nessuno dei due
o,either,entweder,soit,O
pero,but,Aber,mais,Ma
porque,because,Weil,parce que,Perché
pues,well,Also,Bien,BENE
que,that,Das,Quoi,Quello
salvo,except,außer,sauf,tranne
si,Yeah,Ja,Ouais,Sì
sino,but,Aber,mais,Ma
y,and,Und,et,E
Pronombres,Pronouns,Pronomen,Pronoms,Pronomi
Pronombres personales,Personal pronouns,Personalpronomen,Pronoms personnels,Pronomi personali
yo,I,ICH,je,IO
tú,you,Du,toi,Voi
vos,you,Du,toi,Voi
usted,you,Du,toi,Voi
"él, ella, ello","He, she, it",Er sie es,Il Elle Ça,Lui lei esso
"nosotros, nosotras","We, are",Wir sind,nous nous,Noi siamo
"vosotros, vosotras",you you,du du du,vous vous,tu tu
ustedes,you,Du,toi,Voi
"ellos, ellas","They, them",Sie ihnen,ils Elles,Loro
"mí, conmigo","Me, with me","Ich, mit mir","Moi, avec moi","Io, con me"
"ti, contigo","You, with you",Du mit dir,"Vous, avec vous","Tu, con te"
"sí, consigo",if I get,Wenn ich bekomme,si j'obtiens,se ottengo
me,I,ICH,je,IO
te,tea,Tee,thé,tè
"le, la, lo","le, the","le, die","le, le","Le, il"
se,HE,ER,IL,LUI
nos,us,uns,nous,noi
os,you,Du,toi,Voi
Pronombres posesivos,Possessive pronouns,Possessivpronomen,Pronoms possessifs,Pronomi possessivi
"mío, mía","Mine, mine","Meins, meins",Le mien le mien,"MIO, mio"
"tuyo, tuya","Yours, yours","Ihre, Ihre","Tôtre, le tien","Tuo, tuo"
"suyo, suya",Yours,Dein,Le vôtre,Il tuo
"nuestro, nuestra",our our,unser unser,notre notre,nostro
"vuestro, vuestra","yours, yours","Ihre, Ihre","Tôtre, le tien","tuo, tuo"
"cuyo, cuya","whose, whose","wessen, wessen","dont, dont","Di chi, di chi"
Pronombres indefinidos,Indefinite pronouns,Unbestimmte Pronomen,Pronoms indéfinis,Pronomi indefiniti
"un, una, uno","A, one, one","A, eins, einer","A, un, un","A, uno, uno"
"algún, alguna, algo","some, some, something","Einige, einige, etwas","Certains, certains, quelque chose","Alcuni, alcuni, qualcosa"
"ninguno, ninguna, nada","None, none, nothing","Keine, keine, nichts, nichts","Aucun, aucun, rien","Nessuno, nessuno, niente"
"varios, varias","several, several","mehrere, mehrere","Plusieurs, plusieurs","diversi, diversi"
"otro, otra",other another,Andere andere,Autre autre,un altro un altro
"mismo, misma",same,Dasselbe,même,Stesso
"tan, tanto, tanta","So much, so much","So viel, so viel","Tellement, tellement","Così tanto, così tanto"
alguien,someone,jemand,quelqu'un,qualcuno
nadie,nobody,niemand,personne,nessuno
cualquiera,any,beliebig,n'importe quel,Qualunque
ambos,both,beide,les deux,Entrambi
demás,the rest,der Rest,le reste,il riposo
Pronombres interrogativos,Interrogative pronouns,Interrogativpronomen,Pronoms interrogatifs,Pronomi interrogativi
cuál,which,welche,qui,Quale
cuánto,how much,wie viel,combien,Quanto
quién,who,WHO,qui,Chi
qué,that,Das,Quoi,Quello
Demostrativos,Demonstrative,Demonstrativ,Démonstratif,Dimostrativo
"este, esta, esto","This, this, this",Das das das,"Ceci, ceci","Questo, questo, questo"
"estos, estas",These are,Diese sind,Ceux-ci sont,Questi sono
"ese, esa, eso","That, that","Das, das","Que, que","Quello, quello"
"esos, esas",those,diese,ceux,quelli
"aquel, aquella, aquello","that one, that","das, das","celui-là, que","quello, quello"
"aquellos, aquellas","those, those","die, die, die","ceux, ceux","Quelli, quelli"
Interjecciones,Interjections,Interjektionen,Interjections,Interiezioni
sí,Yeah,Ja,Ouais,Sì
no,No,NEIN,Non,NO
Locuciones,Idioms,Redewendungen,Expressions idiomatiques,Idiomi
gracias,thank you,Danke,merci,Grazie
acerca de,about,um,à propos de,Di
a lo mejor,probably,wahrscheinlich,peut-être,probabilmente
a menudo,often,oft,souvent,Spesso
a pesar de,although,Obwohl,bien que,Sebbene
a propósito,by the way,Übrigens,à propos,A proposito
a través de,through,durch,à travers de,Attraverso
dado que,Given the,Angesichts der,étant donné que,dato che
es decir,that is to say,das heißt,c'est-à-dire,cioè per dire
ni siquiera,not even,nicht mal,même pas,nemmeno
o sea,I mean,Ich meine,Ce est à dire,Intendo
por cierto,by the way,Übrigens,d'ailleurs,A proposito
por ejemplo,For example,Zum Beispiel,par exemple,Per esempio
por favor,please,Bitte,S'il vous plait,Per favore
por tanto,therefore,Deshalb,pourtant,Perciò
sin embargo,however,Jedoch,cependant,Tuttavia
tal vez,maybe,Vielleicht,peut-être,Forse
ya que,given that,Angesichts dessen,car,dato che
